language=zh
duration=900.0
[114.90-117.62] 二位爱卿有何事要找着呀
[118.82-119.54] 陛下
[120.18-122.50] 老臣要参卫乡至此未宣
[122.50-125.70] 强征通良关闭民反临阵脱头
[125.70-128.18] 擅自回京后还草奸人命
[128.18-133.15] 容恕罪并罚 天理难容
[133.47-134.75] 太傅莫习嘛
[135.95-137.63] 什么草奸人命啊
[138.03-138.83] 卫乡
[139.71-142.51] 我那幼孙被领狼打舌了腿
[142.51-144.43] 恐余生不良于行
[144.43-146.43] 自己也是将继救际啊
[146.43-148.03] 还是无罪有功啊
[149.07-149.87] 陛下
[149.87-150.83] 我朝中
[150.83-153.39] 若是有人制守这天说不得
[153.39-154.59] 那老臣
[154.59-156.43] 就只能敲灯文古
[156.43-159.63] 让天下人来平凡人是非了
[159.63-160.59] 这
[160.59-161.47] 好啊
[162.11-164.59] 本相愿同去
[166.03-166.99] 陛下
[166.99-168.91] 本相为了陛下的颜面
[168.91-170.99] 忍下了种种羞辱
[170.99-172.51] 而李怀琴
[172.51-174.59] 却说本相夫妻不和
[174.59-175.95] 儿乃爷主
[176.43-177.55] 还说出
[177.55-179.31] 本相心怀轻媒
[179.31-180.67] 意在大内
[180.67-181.71] 此等言论
[181.71-183.39] 竟涉及前朝先帝
[183.39-185.23] 与后宫诛多隐秘
[185.71-188.83] 而如今李家却妄言揣测
[189.47-190.19] 好
[190.75-191.55] 我
[191.55-193.55] 就陪你到灯文古前
[193.55-195.07] 等着天下人的面
[195.07-196.51] 把事情说得清清楚楚
[196.51-197.47] 明明白白
[197.47-198.03] 走
[198.99-200.51] 你胡说八道
[200.51-203.31] 我李家何曾揣测你后宫
[204.35-205.31] 陛下
[205.47-206.19] 臣没有
[206.19-206.91] 臣没有忘记下
[206.91-208.19] 刚才说了还说没有
[208.19-208.91] 二位爱卿
[208.91-209.79] 寂寞动怒
[209.79-211.15] 咱们有话好好说嘛
[211.15-212.91] 李太傅当朝禅言不断
[212.91-214.75] 就怕是陛下都难以监听
[214.75-216.51] 此事你必须说个清楚
[216.51-217.47] 走
[217.47-218.11] 陛下
[218.11-219.07] 谁冤枉我呢
[219.07-219.95] 谁冤枉你了
[219.95-220.99] 分别是当威严
[220.99-221.79] 欺上满枪
[221.79-223.47] 不怕陛下放在颜面
[224.67-225.15] 陛下
[225.15-226.11] 会有生的和气
[226.11-226.91] 陛下
[226.91-227.79] 怎么样
[232.96-233.84] 行
[233.84-235.20] 既然不听
[235.20-238.64] 那朕这黄金不当了
[238.64-239.44] 朕退位行不行
[239.52-240.16] 住手
[240.16-241.04] 不可
[241.04-246.83] 朝天子请一将龙袍拖下
[246.83-247.63] 统合提走
[248.67-250.35] 大胆卫言
[250.35-250.91] 你
[250.91-254.11] 你竟敢对陛下口出狂言
[254.11-255.23] 我看
[255.23-256.59] 不成提懂的
[256.59-257.31] 是你
[261.41-262.13] 臣有罪
[263.01-263.65] 罢了罢了
[264.85-267.41] 二位爱卿是一时情急
[267.41-268.69] 朕也是一时情急
[269.49-270.21] 总之
[270.21-271.73] 都怪那个李淮卿九合五
[271.73-275.95] 得四一胡说
[275.95-277.55] 但记忆断了腿
[277.55-278.67] 受了责罚
[278.67-281.23] 那朕就派御医前去就职
[281.23-282.27] 好转之后
[282.27-284.19] 转去国子剑改过读书
[284.19-284.99] 增长德性
[288.85-292.13] 至于卫宣商人一事吗
[292.13-293.97] 虽情有可缘
[293.97-296.13] 但那和国有国法
[296.13-298.21] 煽动私情的就不错的
[298.21-299.41] 就
[299.41-301.41] 就先免缺的解读史一执
[301.41-302.69] 等他日后带罪立功
[303.57-303.97] 总之
[305.57-307.17] 要是再让朕听到什么
[307.17-308.13] 乌言汇语
[308.13-309.25] 涉及黄氏清语
[309.25-311.25] 修管忠请
[311.25-318.43] 臣遵旨
[318.43-334.50] 陛下 走来
[334.50-336.02] 别 别 别
[336.02-337.78] 别 别 别吓唬我
[337.78-338.82] 陛下
[338.82-340.18] 如此一来
[340.18-341.54] 那李太傅
[341.54-343.30] 怕是腰离心了吧
[343.30-344.34] 那你说朕怎么办
[344.34-345.54] 你说朕怎么办朕
[345.54-346.74] 怎么办
[347.94-349.30] 这卸账回来了
[349.30-351.30] 这卫言要赶时都挺直了
[351.30-352.74] 今天这卫言过来
[352.74-353.94] 分明是要删朕的脸
[353.94-355.62] 破语李太傅联手的局
[355.78-357.46] 这两个老乌龟啊
[357.46-358.66] 不是东方压倒西方
[358.66-360.58] 就是西方压倒东方
[360.58-362.42] 那什么时候来个南方北方呢
[362.42-363.46] 给这吹吹啊
[363.46-365.78] 一生这个废物
[365.78-377.46] 墙头草变卦了
[377.46-378.58] 这
[378.58-380.66] 又添了几分的声势
[387.73-390.53] 看来这声声是指望不上了
[390.53-392.53] 咱们李家
[392.53-395.33] 太灵迅出路了
[396.45-397.65] 齐民内
[397.65-399.65] 最近恐怕会有大动静
[399.65-404.35] 此外
[404.35-406.35] 向严安派查的紧招旧事
[406.35-407.39] 也有了下落
[408.35-410.51] 是崇州那边传来的消息
[410.51-411.95] 您看
[411.95-413.79] 还要通告大公子吗
[413.79-415.31] 十七年前
[415.31-421.55] 卫起林带去调兵的虎妇
[421.55-422.59] 是真的
[423.47-424.75] 可这场景我这里
[424.75-426.75] 却变成了假的
[427.63-428.83] 加在这
[428.83-430.27] 真假虎妇中间
[430.27-431.95] 最关键的部分
[431.95-433.63] 是在这中间
[433.95-435.23] 卫起林
[435.23-436.99] 过了这么多天
[436.99-438.99] 你终于赶回来了
[438.99-454.58] 听完母亲病了
[454.58-456.42] 儿子放心不下
[456.42-458.18] 李怀青的腿
[458.18-470.22] 我一人做事一人当
[470.22-471.98] 一人当
[478.26-479.94] 卫家的脸面
[479.94-481.86] 你配当吗
[483.06-484.90] 你当得了吗
[484.90-486.34] 公事呢
[486.34-487.94] 我已经解决了
[487.94-489.62] 我现在的事
[489.62-494.64] 好吗
[494.64-496.08] 公事呢
[496.08-497.68] 我已经解决了
[498.64-501.04] 但是这家法
[501.04-502.64] 你休想逃
[503.92-505.28] 来人
[505.28-512.10] 在
[512.10-515.12] 我
[515.12-518.02] 十七
[518.02-525.36] 十七完毕
[525.36-528.54] 请他病了
[528.54-530.54] 陪陪他吗
[530.54-532.14] 我已经命人
[532.14-533.58] 去找太医了
[533.58-534.54] 您可知那日我
[534.54-536.70] 为何要打断李怀青的腿
[537.66-539.90] 他骂我
[539.90-540.62] 他骂我说
[540.62-543.10] 我不是夫妻的主
[543.10-544.06] 说您的治爱
[544.06-546.06] 是宫中青梅
[546.06-547.82] 我的母亲
[547.82-549.90] 这么多年服侍你
[549.90-552.14] 为您付出了一切
[552.14-553.82] 可是如今他卧兵在床
[553.82-558.86] 您连看眼发迹都不愿吗
[558.86-560.94] 相爷
[560.94-562.22] 卫生的心
[562.22-570.32] 事关五安侯
[570.32-572.48] 看见没
[572.48-575.92] 我有公务要处理
[575.92-578.00] 至于你的母亲
[578.08-580.16] 你好生照顾
[580.16-581.84] 没有别的事
[581.84-584.16] 老是带着别到处乱子
[584.16-587.36] 你心里从来都只有谢征一人
[587.36-588.40] 你有把我跟母亲
[588.40-592.90] 当作过家人吗
[592.90-595.22] 被我说对了
[595.22-597.62] 你对谢征关怀背质
[597.62-599.78] 势如几重
[599.78-601.30] 你把全部的经历
[601.30-602.34] 所有的心思
[602.34-605.86] 全部都清楚在他一个人身上
[605.86-607.14] 而我
[607.14-608.18] 我只能在旁边
[608.18-610.18] 眼睁睁地看着
[610.18-619.15] 你有正义瞧过我吗
[619.15-620.59] 一眼
[620.59-623.07] 哪怕就一眼
[623.07-624.03] 我最讨厌的
[624.03-626.03] 就是你这默然的样子
[626.03-626.91] 从小到大
[626.91-628.51] 无论我做什么干什么
[628.51-631.07] 你从来都不在乎
[631.07-632.43] 到底谢征是你儿子
[632.43-633.95] 还是我是你儿子
[633.95-636.35] 我是你简单的爷种吗
[636.35-637.39] 谁吧
[637.39-717.82] 十三岁小儿了
[717.82-720.78] 掌公主驾到
[720.78-722.22] 掌公主殿下
[722.22-723.98] 陛下在忙国事
[723.98-725.34] 陛下吸引了我
[725.34-726.06] 老奴
[726.06-730.35] 拦不住掌公主殿下
[730.35-731.39] 罢了
[731.39-732.59] 朕就没指望你拦得住
[732.59-733.95] 退下吧
[733.95-736.74] 遵旨
[736.74-737.86] 听说皇帝想把我
[737.86-743.58] 赐婚给五安侯
[743.58-744.94] 皇姐
[744.94-746.06] 朕给你寻了一个
[746.06-747.74] 盖世英雄当夫婿
[747.74-750.06] 怎么你还不满意了
[751.98-753.18] 皇爷
[753.18-753.74] 别打了
[753.74-754.54] 住住
[754.54-755.90] 疼
[755.90-756.78] 皇姐昨天不是说
[756.78-757.74] 心愿五安侯吗
[757.74-760.14] 还要嫁给他的
[760.22-766.86] 再打就不体面了
[766.86-768.46] 你还知道要体面
[769.50-771.18] 你一会儿帮我卖给李家
[771.18-772.70] 一会儿帮我卖给谢家
[772.70-774.38] 我还是不是一朝掌公主
[774.38-775.98] 我还要不要脸面
[775.98-777.82] 那朕也要脸面
[777.82-779.02] 皇姐也兴气
[779.02-779.74] 你就忍心
[779.74-780.38] 也真能看着
[780.38-789.04] 朕被那两天老虎摆布
[789.04-790.88] 朕一直在等亲手
[792.00-794.40] 朕一般就拔了十十年
[794.40-795.84] 皇姐
[795.84-797.12] 皇 皇姐
[797.12-799.44] 叶氏 宝都 师叔
[799.44-800.40] 你又见过
[800.40-801.60] 像 像朕
[801.60-804.24] 见过皇帝吗
[806.32-807.84] 先生不是为言
[808.56-810.88] 就算不以联营做恩婚
[810.88-813.04] 他依可为皇帝所用
[813.04-814.80] 那 那皇姐你
[815.52-817.44] 你能为他担保一辈子吗
[818.40-819.52] 长姓王
[819.52-821.28] 那长姓王十七年前
[821.28-822.00] 十七年前
[822.00-822.80] 他也不曾想过
[822.80-824.00] 他会造反
[824.88-826.32] 不是多说好
[826.32-827.36] 父子妻女
[827.36-828.32] 都死了
[828.40-830.64] 怎么 怎么又弄了一个什么
[830.64-831.76] 死了
[831.76-833.28] 夹死顿倒
[839.90-841.02] 总之
[841.02-842.94] 皇帝别再乱点鸳鸯蒲了
[842.94-844.46] 不然我会再来的
[844.46-846.70] 此次军中历练
[846.70-848.22] 别的我没学会
[848.22-849.98] 这打仗
[849.98-851.90] 我可学了十幼八角
[851.90-853.02] 这 这痛
[853.02-854.86] 这弄汗了
[854.86-870.56] 别把李显和叫过来
[870.56-871.60] 快点
[871.60-872.64] 少了一只耳朵
[872.64-897.52] 用不了他的名
[897.52-899.20] 只有成长舅舅成了
[899.20-900.32] 有人想飞滴
