language=zh
duration=3010.24
[114.90-117.62] 二位爱卿有何事要找着呀
[118.82-119.46] 陛下
[120.18-122.42] 老臣又参卫乡至此未宣
[122.54-125.62] 强争通良关闭民反临阵脱头
[125.78-128.06] 膳子回京后还草奸人命
[128.22-130.70] 容恕罪并罚 天理难容
[133.47-134.75] 太傅莫习嘛
[135.95-137.59] 什么草奸人命啊
[137.99-138.75] 卫乡
[139.71-142.43] 我那幼孙被领狼打舌了腿
[142.55-144.31] 恐余生不良于行
[144.43-146.35] 此即是将继救济啊
[146.35-147.99] 还是无罪有功啊
[149.07-149.75] 陛下
[149.99-150.79] 我朝中
[150.87-153.15] 若是有人置手遮天说不得
[153.43-154.35] 那老臣
[154.59-156.43] 就只能敲灯文古
[156.51-159.39] 让天下人来评判人是非了
[159.83-160.43] 这
[160.63-161.35] 好啊
[162.15-164.47] 本相愿同去
[166.07-166.71] 陛下
[167.07-168.95] 本相为了陛下的颜面
[168.95-170.67] 忍下了种种羞辱
[171.07-172.15] 而李怀琴
[172.63-174.59] 却说本相夫妻不和
[174.59-175.83] 儿乃爷主
[176.47-177.43] 还说出
[177.63-179.31] 本相心怀轻媒
[179.31-180.51] 意在大内
[180.71-181.67] 此等言论
[181.79-183.39] 竟涉及前朝先帝
[183.39-185.15] 与后宫诛多隐秘
[185.79-188.83] 而如今李家却妄言揣测
[189.51-190.15] 好
[190.79-193.59] 我就陪你到灯门补钱
[193.59-195.07] 等着天下人的面
[195.07-196.55] 把事情说得清清楚楚
[196.55-197.51] 明明白白
[197.51-197.99] 走
[198.99-200.31] 你胡说八道
[200.59-203.31] 我李家何曾揣测你后宫
[204.43-205.11] 陛下
[205.47-206.75] 臣没有 臣没有
[206.75-208.15] 刚才说了 还说没有
[208.15-209.71] 二位爱卿寄谋动怒
[209.71-211.11] 咱们有话好好说嘛
[211.11-212.91] 李太傅当朝禅言不断
[212.91-214.67] 就怕是陛下都难以监听
[214.67-216.51] 此事你必须说个清楚
[216.51-216.91] 走
[217.51-218.31] 陛下 二位
[218.31-219.07] 谁冤枉呢
[219.07-219.91] 谁冤枉你了
[219.91-220.91] 分别是当卫言
[220.91-221.75] 欺上满枪
[221.75-223.39] 不怕陛下放在颜面
[224.59-225.19] 陛下
[225.19-226.11] 会有生的和谐
[226.11-226.71] 陛下
[226.71-227.11] 陛下
[227.11-227.79] 怎么样
[229.67-233.48] 行
[233.88-234.76] 既然不听
[235.24-236.48] 那朕这皇就不当了
[238.68-239.48] 朕退位行不行
[239.48-240.08] 住手
[240.08-240.92] 不可
[240.92-246.79] 朝天子即能轻易将龙袍拖下
[246.79-247.63] 臣何提走
[248.67-250.03] 大胆卫言
[250.43-253.83] 你 你竟敢对陛下口出狂言
[254.15-254.83] 我看
[255.23-257.67] 不成提懂的 是你
[261.41-262.33] 臣有罪
[262.97-263.85] 罢了 罢了
[264.81-266.89] 二位爱卿是一时情急
[267.45-268.97] 朕也是一时情急
[269.45-270.25] 总之
[270.25-272.77] 都怪那个李淮卿九合五得四一胡说
[275.95-278.55] 但既已断了腿受了责罚
[278.67-280.83] 那朕就派御医前去就职
[281.23-282.27] 好转之后
[282.27-283.99] 转去国子剑改过读书
[284.27-285.27] 增长德性
[288.85-291.73] 至于卫宣商人一事吗
[292.17-293.85] 虽情有可缘
[294.09-295.89] 但那和国有国法
[296.09-297.81] 煽动私情的就不错的
[298.25-298.93] 就
[299.49-301.33] 就先免削的解读史一职
[301.33-303.01] 等他日后代罪立功
[303.57-304.29] 总之
[305.61-308.05] 要是再让朕听到什么乌言汇语
[308.05-309.57] 涉及皇室清狱
[310.57-311.73] 休怪证务请
[311.97-318.91] 臣遵旨
[319.51-335.26] 陛下 走来
[335.26-336.06] 别别别
[337.06-338.26] 陛下息怒
[338.78-339.50] 陛下
[339.98-340.90] 如此一来
[340.90-343.86] 那李太傅怕是腰离心了吧
[343.86-344.86] 那你说朕怎么办
[344.86-346.22] 你说朕怎么办朕
[346.22-347.22] 怎么办
[348.70-349.82] 这卸账回来了
[349.82-351.62] 这卫宪妖杆是都挺直了
[352.02-353.22] 今天这卫宪过来
[353.22-354.42] 分明是要删朕的脸
[354.42-355.94] 破语李太傅联手的局
[355.98-357.66] 这两个老乌龟啊
[357.66-358.98] 不是东方压倒西方
[358.98-360.62] 就是西方压倒东方
[361.14-362.62] 那什么时候来个南方北方呢
[362.62-363.66] 给这吹一吹啊
[363.66-365.70] 一生这个废物
[365.70-377.62] 墙头草变卦了
[377.62-378.46] 这
[378.46-380.78] 又添了几分的生事
[388.25-390.57] 看来这生上是指望不上了
[391.21-392.61] 咱们李家
[393.45-395.41] 太灵殉出路了
[397.01-398.05] 齐民那边
[398.05-403.43] 最近恐怕会有大动静
[403.43-404.51] 此外
[404.51-406.55] 想严安派查的紧昭旧事
[406.55-407.71] 也有了下落
[408.55-410.51] 是崇州那边传来的消息
[411.03-411.91] 您看
[411.91-413.95] 还要通告大公子吗
[413.95-415.47] 十七年前
[415.47-416.51] 卫宪妖杆
[416.51-422.87] 带去调兵的虎腑是真的
[423.75-424.95] 可这场景我这里
[424.95-426.87] 却变成了假的
[427.87-428.83] 加在这
[428.83-430.47] 真假虎腑中间
[430.47-432.15] 最关键的部分
[432.83-434.15] 这些是
[434.19-435.15] 那部分
[436.35-437.35] 就是这个
[437.35-444.68] 苏护佛的人
[444.68-454.42] 卫麒麟
[454.42-456.42] 过了这么多天
[456.42-468.74] 你终于赶回来了
[468.74-470.74] 听完母亲病了
[470.74-477.42] 儿子放心不下
[477.42-479.30] 李怀青的腿
[479.30-480.86] 我一人做事一人当
[480.86-482.30] 一人当
[483.70-485.90] 卫家的脸面
[485.90-487.26] 你配当吗
[488.78-494.48] 你当得了吗
[494.48-495.92] 公事呢
[495.92-497.52] 我已经解决了
[498.52-500.84] 但是这家法
[500.84-502.64] 你休想逃
[503.76-505.12] 来人
[505.12-511.90] 在
[511.90-512.74] 我
[512.74-517.86] 十七
[517.86-518.86] 十七完毕
[518.86-526.24] 请他病了
[526.24-530.38] 陪陪他吗
[530.38-531.94] 我已经命人
[531.94-533.38] 去找太医了
[533.38-534.22] 您可知那日
[534.22-535.06] 我为何要打断
[535.06-536.42] 李怀青的腿
[537.46-538.90] 他骂我
[539.70-540.38] 他骂我说
[540.38-542.30] 我不是父亲的主
[543.06-543.98] 说您的质爱
[543.98-546.06] 是宫中青梅
[546.06-547.78] 我的母亲
[547.78-549.90] 这么多年服侍你
[549.90-552.14] 为您付出了一切
[552.14-553.82] 可如今他卧兵在床
[553.82-558.86] 您连看眼发迹都不愿吗
[558.86-559.74] 相爷
[560.98-562.22] 卫生的心
[562.22-570.32] 事关武安侯
[570.32-572.52] 看见没
[572.52-574.68] 我有公务要处理
[575.92-578.00] 至于你的母亲
[578.00-580.12] 你好生照顾
[580.16-581.84] 没有别的事
[581.84-584.20] 老是待着别到处乱子
[584.20-587.40] 你心里从来都只有谢征一人
[587.40-588.48] 你有把我跟母亲
[588.48-592.94] 当作过家人吗
[592.94-595.22] 被我说对了
[595.22-597.62] 你对谢征关怀被治
[597.62-599.82] 事如己出
[599.82-601.26] 你把全部的经历
[601.26-602.38] 所有的心思
[602.38-605.90] 全部都清楚在他一个人身上
[605.90-607.18] 而我
[607.18-608.26] 我只能在旁边
[608.26-610.18] 眼睁睁地看着
[610.18-619.15] 你有正义瞧过我吗
[619.15-620.59] 一眼
[620.59-623.11] 哪怕就一眼
[623.11-624.03] 我最讨厌的
[624.03-626.11] 就是你这默然的样子
[626.11-626.91] 从小到大
[626.91-628.55] 无论我做什么干什么
[628.55-631.11] 你从来都不在乎
[631.11-632.43] 到底谢征是你儿子
[632.43-634.03] 还是我是你儿子
[634.03-636.35] 我是你简单的爷种吗
[636.35-637.47] 谁吧
[637.47-717.86] 十三岁小儿了
[717.86-720.86] 掌公主驾到
[720.86-722.22] 掌公主殿下
[722.22-723.98] 陛下在忙国事
[724.10-725.42] 陛下吸引了我
[725.42-726.10] 老奴
[726.10-730.47] 拦不住掌公主殿下
[730.47-731.43] 罢了
[731.43-732.63] 朕就没指望你拦得住
[732.63-734.03] 退下吧
[734.03-736.82] 遵旨
[736.82-737.94] 听说皇帝想把我
[737.94-743.70] 赐婚给吴安侯
[743.70-745.02] 皇帝
[745.02-746.14] 朕给你寻了一个
[746.14-747.82] 盖世英雄当夫婿
[747.82-750.26] 怎么你还不满意了
[752.14-753.26] 皇帝
[753.26-753.98] 别打了 皇帝
[753.98-754.54] 这儿断
[754.54-755.98] 疼
[755.98-756.86] 皇帝昨天不是说
[756.86-757.82] 心愿吴安侯吗
[757.82-760.22] 还要嫁给他的
[760.22-766.78] 再打就不体面了
[766.78-768.26] 你还知道要体面
[769.46-771.22] 你一会儿把我卖给李家
[771.22-772.70] 一会儿把我卖给谢家
[772.70-774.42] 我还是不是一朝掌公主
[774.42-775.98] 我还要不要脸面
[775.98-777.78] 那朕也要脸面
[777.78-779.02] 皇姐也兴兮
[779.02-779.70] 你就忍心
[779.70-780.34] 也真能看着
[780.34-789.04] 朕被那两天老虎摆过
[789.04-792.00] 朕一直在耽识我
[792.00-794.32] 朕一般就怕了十七年
[794.32-795.84] 皇姐
[795.84-797.12] 皇 皇姐
[797.12-799.48] 夜市 宝都 师叔
[799.48-800.44] 你有见过
[800.44-801.68] 像朕 像朕
[801.68-804.28] 这么活的皇帝吗
[806.36-808.64] 先生不是为言
[808.64-810.96] 就算不以联营做恩婚
[810.96-813.08] 他依可为皇帝所用
[813.08-815.56] 那 那皇姐你
[815.56-818.40] 你能为他担保一辈子吗
[818.40-819.56] 长姓王
[819.56-821.36] 那长姓王十七年前
[821.36-822.04] 十七年前
[822.04-822.84] 他也不曾想过
[822.84-824.92] 他会造反
[824.92-826.40] 不是多说好
[826.40-827.44] 父子 妻 女
[827.44-828.40] 都死了
[828.40-830.64] 怎么 怎么又弄了一个什么
[830.64-839.90] 所有人家死顿倒
[839.90-841.02] 总之
[841.02-842.94] 皇帝别再乱点鸳鸯蒲了
[842.94-844.46] 不然我会再来的
[844.46-846.66] 此次军中历练
[846.66-848.18] 别的我没学会
[848.18-849.90] 这打仗
[849.90-851.82] 我可学了十幼八角
[851.82-854.78] 这 知同 知读 汉郎
[854.78-870.52] 你把你想给我叫过来
[870.52-871.52] 快点
[871.52-872.56] 少了一只耳朵
[872.56-897.44] 用不了他的名
[897.44-899.16] 求成当舅舅成了
[899.20-907.58] 有人小废弟
[907.58-909.30] 丞相
[909.30-911.70] 朕以后会乖乖听话
[911.70-913.30] 从前的种种
[913.30-926.30] 都是朕受了李家的蒙蔽啊
[926.30-928.06] 丞相 陛下 丞相
[928.06-928.90] 陛下
[928.90-930.86] 陛下归为天子
[930.86-933.54] 当秉承天子之一
[933.54-945.57] 怎能如此失态
[945.57-948.25] 是叛军兵临丞相了
[948.25-949.57] 还是有人
[949.57-953.25] 想要逼公谋反呢
[953.25-956.09] 都没有
[956.13-959.25] 皇宫尚在 宫墙俱好
[959.25-964.42] 陛下有何必惊恐呢
[964.42-978.87] 是 是真是疑了
[978.87-981.03] 李祥从记者回来说
[981.03-982.99] 军中正谣言四起
[982.99-987.82] 说是有前东宫所属出现
[987.82-989.46] 十七年前
